sensor_type,device_type,timestamps,illuminance
light,smartphone,1529416926388132096,1347.0
light,smartphone,1529416926591257088,1368.0
light,smartphone,1529416926793801984,1271.0
light,smartphone,1529416926996622080,1125.0
light,smartphone,1529416927199471872,1034.0
light,smartphone,1529416927402291968,910.0
light,smartphone,1529416927605233920,769.0
light,smartphone,1529416927807930880,865.0
light,smartphone,1529416928010757888,1003.0
light,smartphone,1529416928213607936,1016.0
light,smartphone,1529416928416397824,940.0
light,smartphone,1529416928619247872,803.0
light,smartphone,1529416928822067968,656.0
light,smartphone,1529416929024856832,542.0
light,smartphone,1529416929227707904,495.0
light,smartphone,1529416929430526976,430.0
light,smartphone,1529416929633378048,403.0
light,smartphone,1529416929836136960,353.0
light,smartphone,1529416930039413760,355.0
light,smartphone,1529416930241806848,323.0
light,smartphone,1529416930444595968,299.0
light,smartphone,1529416930647445760,481.0
light,smartphone,1529416930850265856,577.0
light,smartphone,1529416931053390848,581.0
light,smartphone,1529416931255906048,451.0
light,smartphone,1529416931458725888,339.0
light,smartphone,1529416931661575936,417.0
light,smartphone,1529416931864334848,455.0
light,smartphone,1529416932270004992,587.0
light,smartphone,1529416932472793856,782.0
light,smartphone,1529416932675613952,851.0
light,smartphone,1529416932878433792,741.0
light,smartphone,1529416933081436928,677.0
light,smartphone,1529416933284043008,586.0
light,smartphone,1529416933486862848,760.0
light,smartphone,1529416933689743872,1221.0
light,smartphone,1529416933892532992,1217.0
light,smartphone,1529416934095413760,1018.0
light,smartphone,1529416934298172928,636.0
light,smartphone,1529416934501022976,602.0
light,smartphone,1529416934703811840,586.0
light,smartphone,1529416934906662912,700.0
light,smartphone,1529416935109543936,821.0
light,smartphone,1529416935312302080,719.0
light,smartphone,1529416935515487744,583.0
light,smartphone,1529416935717972992,499.0
light,smartphone,1529416935920974848,512.0
light,smartphone,1529416936123642880,698.0
light,smartphone,1529416936326492928,824.0
light,smartphone,1529416936529526784,610.0
light,smartphone,1529416936732101888,517.0
light,smartphone,1529416936934952960,494.0
light,smartphone,1529416937137803008,499.0
light,smartphone,1529416937340622848,618.0
light,smartphone,1529416937543565056,471.0
light,smartphone,1529416937746292992,266.0
light,smartphone,1529416937949139200,216.0
light,smartphone,1529416938151928064,239.0
light,smartphone,1529416938354779136,280.0
light,smartphone,1529416938557660160,346.0
light,smartphone,1529416938760449024,279.0
light,smartphone,1529416938963603968,211.0
light,smartphone,1529416939166119168,258.0
light,smartphone,1529416939368939008,648.0
light,smartphone,1529416939571789056,967.0
light,smartphone,1529416939774609152,888.0
light,smartphone,1529416939977673216,602.0
light,smartphone,1529416940180249088,609.0
light,smartphone,1529416940383099136,701.0
light,smartphone,1529416940585918976,1070.0
light,smartphone,1529416940788769024,1032.0
light,smartphone,1529416940991589120,727.0
light,smartphone,1529416941194408960,725.0
light,smartphone,1529416941397259008,719.0
light,smartphone,1529416941600079104,1034.0
light,smartphone,1529416941802898944,1031.0
light,smartphone,1529416942005748992,779.0
light,smartphone,1529416942208539136,734.0
light,smartphone,1529416942411725056,773.0
light,smartphone,1529416942614209024,1006.0
light,smartphone,1529416942817181184,1145.0
light,smartphone,1529416943019908864,992.0
light,smartphone,1529416943222699008,816.0
light,smartphone,1529416943425731840,858.0
light,smartphone,1529416943628369152,1150.0
light,smartphone,1529416943831188992,1399.0
light,smartphone,1529416944034039040,1050.0
light,smartphone,1529416944236859136,906.0
light,smartphone,1529416944439708928,769.0
light,smartphone,1529416944642498048,1050.0
light,smartphone,1529416944845349120,1177.0
light,smartphone,1529416945048137984,926.0
light,smartphone,1529416945250958080,800.0
light,smartphone,1529416945453808128,718.0
light,smartphone,1529416945656598272,1004.0
light,smartphone,1529416945859875072,1116.0
light,smartphone,1529416946062237184,916.0
light,smartphone,1529416946265027072,773.0
light,smartphone,1529416946467876864,695.0
light,smartphone,1529416946670636032,812.0
light,smartphone,1529416946873821952,971.0
light,smartphone,1529416947076275200,736.0
light,smartphone,1529416947279064832,674.0
light,smartphone,1529416947481884928,691.0
light,smartphone,1529416947684704000,876.0
light,smartphone,1529416947887824896,1135.0
light,smartphone,1529416948090339840,622.0
